Unnamed: 0.1,Unnamed: 0,country,policy,measures,start_year,status,budget_commitment,title_norm,matched_title,match_score,description,iso3
1027,1027,Norway,Green Conversion Package - Green Support for MunicipalitiesPart ofGreen Conversion Package,MultipleShow budget lines,2021,In force,21,green conversion package green support for municipalitiespart ofgreen conversion package,Green Conversion Package - Green Support for Municipalities,89.47368421,"<div>In the context of the Green Conversion Package, the government increased the allocation to Klimasats by NOK 50 million.  </div>

<div> </div>

<div>Through Klimasats, municipalities and county municipalities can apply for support for projects that cut greenhouse gas emissions and contribute to the transition to a low-emission society.  It includes undertaking projects to cut emissions, with a significant focus on 'climate-friendly' transport options. </div>",NOR
1028,1028,Finland,Fourth supplementary budget 2020 - Support for public transport & cycling,Walkways and bikelanes,2020,Ended,21,fourth supplementary budget 2020 support for public transport cycling,Fourth supplementary budget 2020 - Support for public transport & cycling,100,"<div>The support for public transport and cycling, as part of the fourth supplementary budget 2020, includes a budget increase of EUR 18 million. The funding is designed to support national walking and cycling, carbon neutrality, and public transport, which experienced revenue declines due to Covid-19. </div>",FIN
1029,1029,United States,USD 20 Million to Lower Costs of Geothermal Drilling,Other renewables,2022,In force,20,usd 20 million to lower costs of geothermal drilling,USD 20 Million to Lower Costs of Geothermal Drilling,100,<div>The U.S. Department of Energy (DOE) announced up to USD 20 million to lower the cost of developing geothermal energy by demonstrating faster drilling technologies. DOE is looking to dramatically lower the cost of geothermal drilling—which can exceed 50% of a project’s total costs. The Drilling Demos initiative is led by DOE’s Geothermal Technologies Office (GTO).</div>,USA
1030,1030,United States,Funding to Advance Integrating Hydrogen and Nuclear Power,Hydrogen,2021,In force,20,funding to advance integrating hydrogen and nuclear power,Funding to Advance Integrating Hydrogen and Nuclear Power,100,"<div>The department of Energy (DOE) opened a funding opportunity of up to USD 20 million which will be available to projects that demonstrate systems producing hydrogen from nuclear power plants. This is a joint effort between the US DOE Hydrogen and Fuel Cell Technologies Office and the Nuclear Energy Office, aiming to support projects for clean and affordable hydrogen production, storage, transport, and use in multiple sectors. It is a part of the H2@Scale for clean and affordable hydrogen production, storage, transport and use. </div>",USA
1031,1031,New Zealand,Maori & Public Housing Renewable Energy Fund,Energy efficiency,2021,Ended,20,maori public housing renewable energy fund,Maori & Public Housing Renewable Energy Fund,100,"<div>The Maori &amp; Public Housing Renewable Energy Fund is an initiative aimed at funding renewable energy technology adoption in Maori and public housing. The initiative also combines energy affordability and efficiency priorities.<br><br>A total of NZD 28 million was dedicated to the fund; a further NZD 2 million was dedicated from the Community Renewable Energy Fund to boost the final rounding of fundings.<br><br>In total, 50 projects covering more than 2,000 homes were covered by the fund--including 11 public housing centers administered by Kalinga Ora, the New Zealand Public Housing Agency. Kalinga Ora estimated that targeted households will save up to NZD 1,000 annually on power bills.<br><br></div>",NZL
1032,1032,Mexico,Photovoltaic Power Plant at Central de Abasto (CEFV CEDA),Utility-scale PV,2021,In force,20,photovoltaic power plant at central de abasto cefv ceda,Photovoltaic Power Plant at Central de Abasto (CEFV CEDA),100,"<div>The capital government, through the local Secretariat for Economic Development (SEDECO), announced the construction of a Photovoltaic Power Plant in the Central de Abasto (CEFV CEDA), in collaboration with the Federal Energy Secretariat (SENER). The plant will be operated by the Federal Electricity Commission (CFE) and will be the largest in the world within a city.</div><div> </div><div>The MXN 400 million plant will be built with resources from the Fund for the Energy Transition and Sustainable Use of Energy (FOTEASE). It will produce, in a first phase, 18 megawatts (MW) with the option of generating twice that, with a generation of around 60 Gigawatt-hours (GWh).<br><br>As a part of the project, on December 17th, 2021, CFE published the open auction (CFE-0035-CACON-0025-2021) to build two Photovoltaic Power Plant of Distributed Generation of 500 kW each one. Once the project is awarded, both plants will be ready and operational in 4 months. </div>",MEX
1033,1033,Peru,Enhancement of NGV conversion programme,Energy affordability,2022,In force,18,enhancement of ngv conversion programme,Enhancement of NGV conversion programme,100,"<div>In the context of the global energy crisis, the government of Peru increased the budget and geographical of its NGV conversion programme, which provides a PEN 1000 support by vehicle conversion. A first enhancement took place in April 2022, and a second one was announced in September 2022.<br><br>The Programme, originally launched in 2021, has to date financed the conversion of 53,200 lightweight vehicles, over 70% of which in the sole year 2022. The Peruvian government specifically promoted the conversion process as a way to lessen the effects of fuel price rise.</div>",PER
1034,1034,United States,RDD for emission-free and energy efficient vehicles,Efficient passenger cars,2021,In force,18,rdd for emissionfree and energy efficient vehicles,RDD for emission-free and energy efficient vehicles,100,"The U.S. Department of Energy announced $18 million in funding for four cutting-edge projects that will help passenger vehicles operate more efficiently, reduce energy consumption, and contribute to the Biden Administration’s goal of reaching net-zero carbon emissions by 2050. 
This funding is part of Phase II of the Advanced Research Projects Agency-Energy’s (ARPA-E) Next-Generation Energy Technologies for Connected and Automated On-Road Vehicles (NEXTCAR) program.",USA
1035,1035,Poland,"eVAN - co-financing of the purchase of an electric vanPart ofElectromobility - 3 separate programmes (""Green Car"", ""eVAN"" and ""Koliber"")",Electric passenger cars,2020,In force,18,evan cofinancing of the purchase of an electric vanpart ofelectromobility 3 separate programmes green car evan and koliber,eVAN - co-financing of the purchase of an electric van,95.65217391,"<div>PLN 70 million were allocated to this programme to incentivise entrepreneurs to buy electric vans (category N1). </div><div> </div><div>Subsidies can cover up to 30% of the eligible costs for the purchase/leasing of electric vehicles, and up to 50% of eligible costs (&lt;PLN 5 thousand) for the purchase of a charging point.</div>",POL
1036,1036,Israel,Reduction and changes in natural gas transmission tariffs,Energy affordability,2022,In force,18,reduction and changes in natural gas transmission tariffs,Reduction and changes in natural gas transmission tariffs,100,"<div>In order to shield domestic consumers from the effects of the global energy crisis, the Natural Gas Economy Council of Israel lowered the transmission rates of the Natural Gas Routes Company (Natgaz) by 17.2%. The Council also introduced a new systemic tariff meant to finance the modernisation and decarbonisation of the domestic natural gas industry.<br><br>Both tariff changes are expected to represent a cumulative cost reduction of 11% when passed on to final consumers.<br><br></div>",ISR
1037,1037,Luxembourg,400 EUR social allowance for energy bills,Energy affordability,2022,In force,18,400 eur social allowance for energy bills,400 EUR social allowance for energy bills,100,<div>Government confirmed implementation in February 2022 of an extension and top up (from 200 to 400 EUR) of social allowance to help pay energy bills.</div>,LUX
1038,1038,Australia,Regional and Remote Communities Reliability Fund's second round,Energy affordability,2020,In force,17,regional and remote communities reliability funds second round,Regional and Remote Communities Reliability Fund,94.50549451,"<div>Through microgrids, the Australian government has continued to encourage secure, reliable, and inexpensive power for regional and distant communities. The Regional and Remote Communities Reliability Fund's second round will begin in 2020, with successful projects receiving up to $25 million in awards. Projects across Australia are eligible to apply, ranging from very isolated Indigenous communities in Western Australia and the Northern Territory to rural farming communities in Victoria. The program will help fund feasibility studies to see if a microgrid or upgrading off-grid technologies will better satisfy community needs. The grants varied in value from AUD 100,000 to AUD ten million.</div>",AUS
1039,1039,New Zealand,Low Emissions Heavy Vehicle Fund,Trucks (efficient/electric/alt fuel),2024,In force,17,low emissions heavy vehicle fund,Low Emissions Heavy Vehicle Fund,100,"<div>The $27.75 million Low Emissions Heavy Vehicle Fund (LEHVF) grant scheme is aimed to support ‘first movers’ by addressing the purchase price barrier to the adoption of ZEHVs in New Zealand. <br><br>The fund will be administered by the Energy Efficiency and Conservation Authority (EECA), with the objectives to: <br>a.    Continue to build the transport sector’s confidence to invest in the adoption of zero emission trucks, non-public transport buses and heavy vans beyond demonstration, by supporting integration of zero emissions vehicles into their fleets. <br>b.    Gather insights into other operational barriers to widespread uptake and commercialisation, such as charging and refuelling requirements and behaviour change amongst operators, and <br>c.    Provide market signals to international original equipment manufacturers (OEMs), with the intent of encouraging supply of ZEHVs to New Zealand.<br><br>The programme was launched in the second half of 2024.</div>",NZL
1040,1040,Netherlands,Aid to Twence for investment in CO2 capture technology,CCUS,2021,In force,17,aid to twence for investment in co2 capture technology,Aid to Twence for investment in CO2 capture technology,100,"<div>The European Commission will procure a €14.3 million Dutch investment aid to TWENCE HOLDING BV to build a carbon capture and use facility. </div><div> </div><div>The initiative will allow the company's waste-to-energy installation facility in Hengelo, the Netherlands, to remove CO2 from flue emissions.</div>",NLD
1041,1041,Ireland,Schools Energy Retrofit Pathfinder ProgrammePart ofNational Development Plan (NDP) 2021-2030 - Transport,Energy efficient retrofits,2021,In force,17,schools energy retrofit pathfinder programmepart ofnational development plan ndp 20212030 transport,National Development Plan (NDP) 2021-2030 - Transport,89.65517241,"<div>The Irish Government launched the new National Development Plan (NDP) 2021-2030, which notably aims at cutting emissions in half by 2030, creating a new green and digital economy and fostering related investments. Specific funding is notably allocated to the transport sector- boosting public transport development and decarbonisation, supporting the construction of EV charging infrastructures, walking and cycling infrastructure, as well as to public building energy-efficiency enhancement efforts, and to specific programmes meant to facilitate worker transition to clean energy sectors.</div>",IRL
1042,1042,Ireland,Energy Efficiency GrantsPart ofRenewable energy transition - Energy Efficiency National Retrofit Programme,Efficient new builds,2021,In force,17,energy efficiency grantspart ofrenewable energy transition energy efficiency national retrofit programme,Renewable energy transition - Energy Efficiency National Retrofit Programme,91.80327869,"<div>The National Home Retrofit Scheme is a program designed to encourage the development of One-Stop shops and deliver energy efficiency upgrades specifically in domestic buildings. The grant scheme engages groups of private households, registered Housing Associations, and Local Authorities to upgrade homes towards achieving the All of Government Climate Action Plan home energy retrofit targets. The program aims for cost effective delivery, reduction of emissions, a higher level of comfort and cheaper heating bills.  </div>",IRL
1043,1043,Japan,National Budget 2021- R&D projects for a fusion DEMO reactor,Low-carbon power,2021,In force,16,national budget 2021 rd projects for a fusion demo reactor,National Budget 2021- R&D projects for a fusion DEMO reactor,100,"<div>As a part of the third supplementary budget to the 2021 national budget, the Japanese government has decided to accelerate the production and maintenance of JT-60SA, which facilitates plasma heating experiment operation for fusion DEMO reactor development.</div><div> </div><div>The objectives are to:  </div><ul><li>Accelerate research and development for fusion prototype reactors</li><li>Improve the technological base of companies related to cutting-edge fusion-related equipment and revitalize the industrial base including SMEs</li></ul><div> </div>",JPN
1044,1044,Hungary,Climate and nature-protection action plan - Tender for purchase of EV and MopedsPart ofClimate and nature-protection action plan,Low-carbon vehicles,2020,In force,16,climate and natureprotection action plan tender for purchase of ev and mopedspart ofclimate and natureprotection action plan,Climate and nature-protection action plan,100,"<div>The Plan builds on previous efforts and provides a set of well-defined climate protection tools.</div>

<div> </div>

<div>1. Hungary will rid the country of illegally discarded waste.</div>

<div>2. Hungary will ban single-use plastics and will create deposit return schemes for glass and plastic bottles and metal cans</div>

<div>3. Hungary will protect its water resources. Hungary will be working on reviving habitats and creating conditions for conservation across 150,000 hectares of protected natural areas by 2021.</div>

<div>4. Hungary will support renewable energy production by SMEs. Hungary will provide HUF 32 billion to support renewable energy production by Hungarian SMEs. Hungary will also transform the Mátra Power Plant into an environmentally friendly facility. The modernisation of the Mátra Power Plant will enable Hungary to significantly reduce the country’s greenhouse gas emissions.</div>

<div>5. One million trees will be planted every year–at least ten for every new-born baby. By 2030 forest cover will be increased to 27% of the area of the country.</div>

<div>6. In the next 10 years (between 2020 and 2030) a six-fold increase in Hungary’s solar energy production capacity is planned. By 2030 90% of energy generated in Hungary will be carbon-neutral. In order to make electricity consumption controllable, by 2030 Hungary will have installed at least 1 million smart meters. Over the next 10 years Hungary will install smart meters in 25% of Hungarian households.</div>

<div>7. Hungary plans to support wider availability and use of affordable electric cars. Electric vehicles will represent a significantly larger share of new car sales. Hungary has launched the Green Bus Program. The plan is that, within 10 years, half of the public buses will be environmentally friendly.</div>

<div>8. Hungary has introduced Green Government Bonds.</div>",HUN
1045,1045,Hungary,Support for investment in EV parts manufacturing plant,Electric passenger cars,2023,In force,16,support for investment in ev parts manufacturing plant,Support for investment in EV parts manufacturing plant,100,<div>The Government of Hungary will provide 5.6 billion forint (EUR 14.3 million) incentive to Boysen Group company that is investing 60 billion forint in a new manufacturing plant producing parts for electric vehicles that will create 400 new jobs.</div>,HUN
1046,1046,Mexico,National Project for Energy Efficiency in Public Lightning - FOTEASEPart ofFund for Energy Transition and Sustainable Energy Use - FOTEASE,Energy efficiency,2010,Ended,16,national project for energy efficiency in public lightning foteasepart offund for energy transition and sustainable energy use fotease,National Project for Energy Efficiency in Public Lightning - FOTEASE,100,"<div>Mexico's Energy Transition and Sustainable Energy Utilization Fund (FOTEASE) was created in 2008, within the framework of the Energy Transition Law. According to the latest report issued by Mexico's Secretariat of Energy, as of December 31, 2022, the fund allocated over MXN 340 million for the National Project for Energy Efficiency in Public Lightning. The project seeks to accelerate the adoption of new public lightning technologies in local municipalities throughout the country. </div>",MEX
1047,1047,Mexico,Eco-Credit Business Program - FOTEASEPart ofFund for Energy Transition and Sustainable Energy Use - FOTEASE,Just transitions,2011,In force,16,ecocredit business program foteasepart offund for energy transition and sustainable energy use fotease,Eco-Credit Business Program - FOTEASE ,100,"<div>Mexico's Energy Transition and Sustainable Energy Utilization Fund (FOTEASE) was created in 2008, within the framework of the Energy Transition Law. Among the projects financed by the fund is the Eco-Credit Business Program, a project which aims to support the national productive sector with preferential financing to promote electricity savings and encourage an efficient use of the energy resources in the country. </div>",MEX
1048,1048,Colombia,Renewable Energy Fund (FENOGE) - Energy efficiencyPart ofRenewable Energy Fund (FENOGE),Energy efficiency,2023,In force,15,renewable energy fund fenoge energy efficiencypart ofrenewable energy fund fenoge,Renewable Energy Fund (FENOGE) ,100,"<div>Colombia's Fund for Renewable Energy (FENOGE) provides financial support for the integration of renewable energies into the country's energy system as well as financing projects for vulnerable communities, focusing on the implementation of offgrid solutions on a small scale. </div>",COL
1049,1049,Belgium,Energy import infrastructurePart ofBelgium's REPowerEU,Other Innovation,2024,In force,15,energy import infrastructurepart ofbelgiums repowereu,,69.13580247,,
1050,1050,Canada,Sustainable Development Technology Canada (SDTC) - Cleantech projects,Industry EE,2020,In force,15,sustainable development technology canada sdtc cleantech projects,Sustainable Technology Development Canada,100,"<p>Sustainable Development Technology Canada (SDTC) is an arm 's-length foundation created by the Government of Canada which has received CAD 1.09 billion as part of the Government commitment to create a healthy environment and a high quality of life for all Canadians. SDTC operates two funds aimed at the development and demonstration of innovative technological solutions. The CAD 590 million SD Tech Fund „¢ supports projects that address climate change, air quality, clean water, and clean soil.The CAD 500 million NextGen Biofuels Fund „¢ supports the establishment of first-of-kind large demonstration-scale facilities for the production of next-generation renewable fuels. SDTC operates as a not-for-profit corporation and has been working with the public and private sector including industry, academia, non-governmental organizations (NGOs), the financial community and all levels of government to achieve this mandate.   SDTC applies a stringent due diligence process when selecting technologies to support and requires every applicant to involve a consortium of partners in their project.Since 2001, SDTC has provided $1.71 billion in funding to projects, which has leveraged $4.26 billion through public and private sector investments. SDTC-funded companies have generated an estimated $13.27 billion in total follow-on financing.</p>",CAN
1051,1051,Canada,Investments in small modular reactor technologyPart ofStrategic Innovation Fund,Nuclear,2020,In force,15,investments in small modular reactor technologypart ofstrategic innovation fund,Investments in small modular reactor technology,86.74698795,"<div>the Canadian government announced a CAD 20 million investment in the development and commercialization of innovative small modular reactors (SMR) as part of the country's efforts to achieve net-zero emission by 2050. </div><div> </div><div>The investment will help Oakville’s Terrestrial Energy complete a key pre-licensing milestone through the Canadian Nuclear Safety Commission in assessing the Generation IV technology that the company is developing as part of its Integral Molten Salt Reactor project, which will provide affordable energy for utilities and industry. Terrestrial is also spending at least another $91.5 million in R&amp;D.  </div><div> </div><div>Throughout the two and a half year project, Terrestrial will engage with Canada’s world-class nuclear supply chain, potentially creating over a thousand jobs nationally. </div>",CAN
1052,1052,Lithuania,Energy Efficiency Measures - Private Legal Entities,Energy efficiency,2020,In force,15,energy efficiency measures private legal entities,Energy Efficiency Measures - Private Legal Entities,100,"<div>The Energy Efficiency Measures, Private Legal Entities policy is designed to incentivize implementation of energy efficient measures. Under the Climate Change Programme 2020, companies and businesses are invited to apply for energy efficiency measures under their energy audit report, which would grant them compensation from the government for the lighting, heating systems, technological process equipment. The total budget allocated for this policy is 13 million EUR. The maximum amount of compensatory allowance per applicant is 200 000 EUR, with the applicant's minimum energy savings at 10 MWh/year. </div><div> </div><div> </div>",LTU
1053,1053,Israel,Infrastructure projects in the energy and water economies: 4. Removing barriers to enable rapid and efficient development of the electricity transmission anddistribution networksPart ofInfrastructure projects in the energy and water economies - COVID19 response,Charging infrastructure,2020,In force,15,infrastructure projects in the energy and water economies 4 removing barriers to enable rapid and efficient development of the electricity transmission anddistribution networkspart ofinfrastructure projects in the energy and water economies covid19 response,Infrastructure projects in the energy and water economies - COVID19 response,100,"<div>In response to the Covid 19 economic crisis, the Ministry of Energy of Israel has selected 10 large-scale projects, involving clean energy technologies, fossil fuels infrastructure and energy access, to support the economic recovery.     </div>

<div> </div>

<div>This recovery plan in the energy sector is estimated to attract ILS 25 billion of investment, 10.8% from public investments and 89.2% from private sources.     </div>

<div> </div>

<div>Most of these funds will go towards electricity sector investment (ILS 18 billion), the rest being allocated to energy efficiency measures (ILS 2.5 billion), fuels (ILS 1.8 billion), minerals (ILS 1.6 billion) and natural gas (ILS 1.5 billion).</div>",ISR
1054,1054,United States,DOE funding for direct air capture (DAC) and storage,CCUS,2021,In force,15,doe funding for direct air capture dac and storage,DOE funding for direct air capture (DAC) and storage,100,"<div>The U.S. Department of Energy (DOE) announced a USD 14.5 million funding to scale up direct air capture (DAC) technologies and to develop low-carbon energies. DAC is not yet an economically viable technology and requires consistent investment to impose. It could contribute to hard-to-decarbonise industries such as aviation, shipping and agriculture.</div>",USA
1055,1055,United Kingdom,V2X (vehicle-to-everything) Innovation Programme - Phase 2,Charging infrastructureShow budget lines,2022,In force,14,v2x vehicletoeverything innovation programme phase 2,V2X (vehicle-to-everything) Innovation Programme - Phase 2,100,<div>The UK Department for Energy Security and Net Zero (DESNZ) has announced phase two of V2X(vehicle-to-everything) Innovation Programme with funding of up to GBP 9.4 million. The objective of this Programme is to overcome obstacles that hinder the achievement of energy flexibility through bi-directional electric vehicle charging. The second phase of the program aims to facilitate small-scale demonstrations of V2X bi-directional charging.</div>,GBR
1056,1056,United Kingdom,Fusion Energy Technologies Investment,Nuclear,2024,In force,14,fusion energy technologies investment,Fusion Energy Technologies Investment ,100,<div>The United Kingdom Atomic Energy Authority (UKAEA) awarded funding to nine organisations to advance innovative technologies for fusion energy. </div>,GBR
1057,1057,Luxembourg,Government investment for renewable energies,Low-carbon power,2022,In force,14,government investment for renewable energies,Government investment for renewable energies,100,<div>Government financing to increase renewable energy contribution to energy mix in order to stabilise electricity prices.</div>,LUX
1058,1058,Spain,"Recovery, transformation and resilience plan / Modernisation and digitalisation of the industrial fabric and SMEs and recuperation of tourism (V)Part ofRecovery, transformation and resilience plan",Industry EE,2021,In force,14,recovery transformation and resilience plan modernisation and digitalisation of the industrial fabric and smes and recuperation of tourism vpart ofrecovery transformation and resilience plan,"Recovery, transformation and resilience plan",100,"<div>The ""Plan for Recovery, Transformation, Resilience of the Spanish Economy"" is designed around the four transformations: the ecological transition, digital transformation, gender equality and social and territorial cohesion. Some 70% of this  Plan (EUR 70 000 million) will go to the areas of green economy and ecologic transition, notably :     </div><div>  </div><div>Component 1: Sustainable mobility plan (urban and rural agenda) – EUR 6 536 million</div><div>Component 2: Building and housing rehabilitation – EUR 6 820 million   </div><div>Component 6: Sustainable mobility (energy transition ) – EUR 6 667 million - most of this to electric vehicle   </div><div>Component 7: Renewables integration – EUR 3 165 million   </div><div>Component 8: Electric infrastructure, smart grids, flexibility and storage – EUR 1 365 million   </div><div>Component 9: Green hydrogen – EUR 1 555 million   </div><div>Component 10: Fair transition – EUR 300 million</div>",ESP
1059,1059,Hungary,HUF 5 billion in fuel subsidies for municipal residents,Energy affordability,2023,In force,14,huf 5 billion in fuel subsidies for municipal residents,HUF 5 billion in fuel subsidies for municipal residents,100,"<div>The Government of Hungary allocated HUF 5 billion in subsidies to municipalities for the purchase of firewood and coal to help vulnerable communities amid the energy crisis. Until 28 April 2023, municipalities with under 5,000 inhabitants can apply for the non refundable direct grants under the program provided they have issued a municipal decree setting up the rules of distribution of the subsidies to their vulnerable residents. The government will pay out the grants to eligible municipalities by 15 September 2023.</div>",HUN
1060,1060,New Zealand,"Nationwide network of hydrogen-fuelling stationsPart ofInfrastructure Fund, Covid Response and Recovery Fund",Low-carbon vehicles,2021,In force,14,nationwide network of hydrogenfuelling stationspart ofinfrastructure fund covid response and recovery fund,Nationwide network of hydrogen-fuelling stations,89.41176471,"The Infrastructure Reference Group has approved NZD 20m for New Plymouth Company Hiringa Energy to establish a nationawide network of hydrogen-fuelling stations. 

Initial stations will be located in the Waikato, Bay of Plenty, Taranaki, Manawatu, Auckland, Taupo, Wellington and Christchurch. These stations will begin to supply zero emission fuel to trucks, buses and commercial fleets from 2021. Hiringa estimates the initial network will provide coverage for about 95% of heavy freight routes in the North Island and 82% of the South Island.

The project is intended to build the foundation for a national network that facilitates the use of hydrogen for commercial and heavy transport fleets to decarbonise our transport sector.

The $20 million contribution from IRG will leverage a further $49 million from Hiringa Energy, joint venture partners and other private investors for the project.

20 Million New Zealand Dollar is part of the Infrastructure Reference Group (iRG), from the 50 billion New Zealand Dollar Covid Response and Recovery Fund (CRRF) set out in the Budget 2020, with 3 billion New Zealand Dollar.",NZL
1061,1061,Argentina,2023 Program on Electric Energy Policy,Low-carbon power,2023,In force,14,2023 program on electric energy policy,2023 Program on Electric Energy Policy ,100,"<div>As part of the National Budget, Argentina's Ministry of Economy allocates resources to increase and optimize the supply of electric energy in terms of generation, transportation, and distribution, as well as to expand the energy grid in order to meet the country's increase in energy demand.</div>",ARG
1062,1062,Denmark,Subsidies to be distributed by municipalities to vulnerable households,Energy affordability,2022,Ended,14,subsidies to be distributed by municipalities to vulnerable households,Subsidies to be distributed by municipalities to vulnerable households,100,"<div>In November 2021, the Danish government set aside a pool of DKK 100 million for municipalities to provide assistance to pensioners and vulnerable households affected by the energy price increases.</div>",DNK
1063,1063,Estonia,Renewable energy auction with strike price guarantee,Low-carbon power,2023,In force,14,renewable energy auction with strike price guarantee,Renewable energy auction with strike price guarantee,100,"<div>The fifth national auction in Estonia managed by the electricity and gas system operator Elering should add additional 780 GWh of renewable energy generation by 2027. Maximum bid amount will be EUR 45/MWh, which will be a guaranteed strike price. Participants will get a maximum subsidy amount of EUR 20/MWh in case the electricity market price will be below the strike price.</div>",EST
1064,1064,Norway,Offshore wind extension survey,Offshore wind,2024,In force,14,offshore wind extension survey,Offshore wind extension survey,100,<div>The Norwegian government earmarked new investments dedicated to preparatory studies for the extension of offshore wind production areas in 2025. </div>,NOR
1065,1065,Norway,NorthWind Research Centre launchPart ofGreen Conversion Package,Low-carbon power,2021,In force,14,northwind research centre launchpart ofgreen conversion package,NorthWind Research Centre launch,87.71929825,"<p>The Research Council has decided to invest NOK 120 million in a new research centre, the Norwegian Research Centre on Wind Energy (NorthWind) for environmentally friendly energy. The research from the new centre will create export opportunities for Norwegian business and industry and ensure that the environmental impacts from future wind power development are minimized. The Centre will receive NOK 15 million each year over eight years, and can receive in addition funds from the private sector. The center is not a physical location but a consortium composed of multiple collaborating organizations and businesses. This consortium includes over 40 business partners actively engaged in the center’s research, management, and funding, and features a balanced mix of suppliers, energy companies, consulting firms, and cluster/interest groups.   </p>",NOR
1066,1066,Norway,Green Conversion Package - HydrogenPart ofGreen Conversion PackageandENERGIX Programme,Hydrogen,2021,In force,14,green conversion package hydrogenpart ofgreen conversion packageandenergix programme,,84.21052632,,
1067,1067,United Kingdom,UK Green DistilleriesPart ofTen Point Plan for a Green Industrial Revolution - Point 10: Green Finance and Innovation,Industry EE,2021,In force,14,uk green distilleriespart often point plan for a green industrial revolution point 10 green finance and innovation,Ten Point Plan for a Green Industrial Revolution - Point 10: Green Finance and Innovation,97.22222222,"<p>As part of the Ten Point Plan for a Green Revolution, the last point focuses on developing green finance and innovation.   A GBP 1 billion Net Zero Innovation Portfolio will help to accelerate the commercialization of innovative low-carbon technologies, systems and processes in the power, buildings, and industrial sectors. Priority areas for innovation and investment outlined in the plan include: - floating offshore wind, advanced modular nuclear reactors, energy storage and flexibility, bioenergy, hydrogen, direct air capture and advanced CCUS, industrial fuel switching, disruptive technologies such as artificial intelligence for energy- a GBP 100 million investment in brand-new Greenhouse Gas Removal technologies, including Direct Air Capture and an additional GBP 100 million for Energy Storage and Flexibility innovation challenges - GBP 222 million for the STEP programme (Spherical Tokamak for Energy Production) to support the development of the world's first commercially viable fusion power plant in the UK by 2040, and GBP 184 million for new fusion facilities, infrastructure and apprenticeships to lay the foundations of a global hub for fusion innovation - Investment in transport innovation with new technologies (GBP 3 million in Tees Valley Hydrogen Transport Hub, GBP 20 million  across trials of zero emission heavy good vehicles)- GBP 170 million to support the green recovery across Latin Am, Africa and Asia, since June 2020  This project is expected to support hundreds of thousands of jobs by 2030, deploy GBP 1 billion of government funding in net zero innovation with GBP 1 billion matched funding and potentially 2.5 billion GBP of follow-on funding from the private sector, while reducing greenhouse gas emissions.  </p>",GBR
1068,1068,Belgium,North Sea floating solar power feasibility studyPart ofBelgium's REPowerEU,Utility-scale PV,2024,In force,14,north sea floating solar power feasibility studypart ofbelgiums repowereu,North Sea floating solar power feasibility study,93.33333333,<div>The Belgian government is financing feasibility studies related to floating solar panel projects in the North Sea.</div>,BEL
1069,1069,Brazil,Procel public call - Energy Efficiency in Public sector,Energy efficient retrofits,2022,In force,13,procel public call energy efficiency in public sector,Procel public call - Energy Efficiency in Public sector,100,<div>The Procel public call supports energy efficiency renovations in public buildings.</div>,BRA
1070,1070,People's Republic of China,Subsidies for renovation and boiler upgrade for low income households,Appliances,2022,In force,13,subsidies for renovation and boiler upgrade for low income households,Subsidies for renovation and boiler upgrade  for low income households,100,<div>The local government of Shenzhen has earmarked financial support to promote subsidies for the purchase of consumer electronics and household appliances. </div>,CHN
1071,1071,Spain,Subsidies 2020 for employment in the green sector,Just transitions,2020,In force,12,subsidies 2020 for employment in the green sector,Subsidies 2020 for employment in the green sector,100,"<div>Through the Biodiversity Foundation, the Ministry for Ecological Transition and Demographic Challenge will open demands for subsidies in employment and professional training in the green (and blue) economies. </div><div><br> The policy will support people who have been unemployed for six months, with subsidies ranging from 1900 EUR to 3440 EUR, while subsidies for professional training will be supported with a budget of 5.7 million EUR, and project-specific budgets will range from 100 000 to 300 000 EUR. </div><div> </div><div>The following strategy is based on pre-existing frameworks from the Biodiversity Foundation created in 2007, and financed by the European Social Funds as of 2014, with special relevance in green recovery to face the current Covid-19 crisis. </div><div> </div><div>Employment in the green sector, include creation of positions in the production of renewable energies, as well as other environmentally-friendly positions. The policy also aims to diminish circular carbon. </div>",ESP
1072,1072,Malaysia,RM40 Electric Rebate Programme,Energy affordability,2024,In force,12,rm40 electric rebate programme,RM40 Electric Rebate Programme,100,<div>The RM40 Electric Rebate Programme is a targeted government assistance scheme which subsidises poor household electricity consumption- up to RM40 a month .</div>,MYS
1073,1073,United States,DOE funding for geothermal energy technologies,Other renewables,2021,In force,12,doe funding for geothermal energy technologies,DOE funding for geothermal energy technologies,100,"<div>The U.S. Department of Energy (DOE) announced up to USD 12 million for technologies that can make geothermal systems more efficient for clean, renewable energy production. The funding will target enhanced geothermal systems (EGS) to unlock the potential for increased electricity generation using geothermal energy.</div>

<div> </div>

<div>Applications for funding closed on June 15, 2021.</div>

<div> </div>",USA
1074,1074,Portugal,2022 Increase in subsidy scheme for low-carbon vehicle purchase,Electric passenger cars,2022,In force,12,2022 increase in subsidy scheme for lowcarbon vehicle purchase,2022 Increase in subsidy scheme for low-carbon vehicle purchase,100,"<div>In 2022, the Portuguese Environmental Fund support scheme is subsidising the purchase of low-emission vehicles, saw its allocation more than double relatively to the previous year (from EUR 4.5 million to EUR 10 million).</div>",PRT
